Artikel;article_description;Bruttobetrag;Nettobetrag;Verkaufte_Stücke;Gewicht_verkauft;Durchschnittlicher_Preis;umsatz_tot;origin;year;date;ort
A10007;Senf Mayo Ketschup;1.5;1.5;3;NA;0.5;0.03;30.09.csv;2015;30.09.2015;grüental
A10012;Kitchen 2;269;269;25;NA;10.76;4.74;30.09.csv;2015;30.09.2015;grüental
A10020;Local 0;563;563;74;NA;7.61;9.93;30.09.csv;2015;30.09.2015;grüental
A10030;Market;6.3;6.3;1;0.274;22.99;0.11;30.09.csv;2015;30.09.2015;grüental
A10040;Garden;43.7;43.7;5;1.9;23;0.77;30.09.csv;2015;30.09.2015;grüental
A10060;Frucht -.70;0.7;0.7;1;NA;0.7;0.01;30.09.csv;2015;30.09.2015;grüental
A10063;Frucht 1.00;1;1;1;NA;1;0.02;30.09.csv;2015;30.09.2015;grüental
A10122;Nussbrille;2.4;2.4;1;NA;2.4;0.04;30.09.csv;2015;30.09.2015;grüental
A10130;Vanillekreuz;2.4;2.4;1;NA;2.4;0.04;30.09.csv;2015;30.09.2015;grüental
A10148;Fruchttörtli;10.1;10.1;4;NA;2.53;0.18;30.09.csv;2015;30.09.2015;grüental
A10410;Sandwich Milano;4;4;1;NA;4;0.07;30.09.csv;2015;30.09.2015;grüental
A10412;Sandwich Gruyere;4;4;1;NA;4;0.07;30.09.csv;2015;30.09.2015;grüental
A10413;Sandwich Start Your Day;18.5;18.5;4;NA;4.63;0.33;30.09.csv;2015;30.09.2015;grüental
A10415;Sandwich Turkey;6;6;1;NA;6;0.11;30.09.csv;2015;30.09.2015;grüental
A10416;Sandwich Ticinese;18;18;3;NA;6;0.32;30.09.csv;2015;30.09.2015;grüental
A10451;Sandwich Bauette;5;5;1;NA;5;0.09;30.09.csv;2015;30.09.2015;grüental
L18000;Huusbrot 1kg;283.2;283.2;59;NA;4.8;4.99;30.09.csv;2015;30.09.2015;grüental
L18003;Knusper Crunch, Familia 2kg;38;38;2;NA;19;0.67;30.09.csv;2015;30.09.2015;grüental
L18006;Käseplatte 800g;160;160;5;NA;32;2.82;30.09.csv;2015;30.09.2015;grüental
L18007;Aufschnitt- / Wurstplatte 800g;140;140;5;NA;28;2.47;30.09.csv;2015;30.09.2015;grüental
L18009;Butter Portionen 10g 96Stk.;96;96;4;NA;24;1.69;30.09.csv;2015;30.09.2015;grüental
L18010;Lätta Margarine Portioen 10g 100Stk.;48;48;2;NA;24;0.85;30.09.csv;2015;30.09.2015;grüental
L18012;Chocos Kellogs Superpack 8x600g;330;330;6;NA;55;5.82;30.09.csv;2015;30.09.2015;grüental
L18013;Smacks Kellogs Superpack 8x600g;205;205;5;NA;41;3.61;30.09.csv;2015;30.09.2015;grüental
A10000;Catering;24;24;2;NA;12;1.12;01.10.csv;2015;01.10.2015;grüental
A10001;Favorite;918;918;116;NA;7.91;42.9;01.10.csv;2015;01.10.2015;grüental
A10002;Green;483;483;63;NA;7.67;22.57;01.10.csv;2015;01.10.2015;grüental
A10006;Menu Salat;91;91;58;NA;1.57;4.25;01.10.csv;2015;01.10.2015;grüental
A10007;Senf Mayo Ketschup;6.5;6.5;13;NA;0.5;0.3;01.10.csv;2015;01.10.2015;grüental
A10013;Kitchen 3;199;199;17;NA;11.71;9.3;01.10.csv;2015;01.10.2015;grüental
A10020;Local 0;217;217;28;NA;7.75;10.14;01.10.csv;2015;01.10.2015;grüental
A10030;Market;9.2;9.2;1;0.4;23;0.43;01.10.csv;2015;01.10.2015;grüental
A10040;Garden;66.5;66.5;9;2.888;23.03;3.11;01.10.csv;2015;01.10.2015;grüental
A10060;Frucht -.70;0.7;0.7;1;NA;0.7;0.03;01.10.csv;2015;01.10.2015;grüental
A10062;Frucht -.90;0.9;0.9;1;NA;0.9;0.04;01.10.csv;2015;01.10.2015;grüental
A10063;Frucht 1.00;50;50;50;NA;1;2.34;01.10.csv;2015;01.10.2015;grüental
A10100;Gipfel;23.4;23.4;18;NA;1.3;1.09;01.10.csv;2015;01.10.2015;grüental
A10112;Maisbrötli;10.2;10.2;6;NA;1.7;0.48;01.10.csv;2015;01.10.2015;grüental
A10114;Fitnessbrötli;3.4;3.4;2;NA;1.7;0.16;01.10.csv;2015;01.10.2015;grüental
A10116;Semmel;7;7;5;NA;1.4;0.33;01.10.csv;2015;01.10.2015;grüental
A10122;Nussbrille;2.4;2.4;1;NA;2.4;0.11;01.10.csv;2015;01.10.2015;grüental
A10124;Kirschenstange;2.4;2.4;1;NA;2.4;0.11;01.10.csv;2015;01.10.2015;grüental
A10130;Vanillekreuz;4.8;4.8;2;NA;2.4;0.22;01.10.csv;2015;01.10.2015;grüental
A10416;Sandwich Ticinese;6;6;1;NA;6;0.28;01.10.csv;2015;01.10.2015;grüental
A10450;Sandwich Laugenkaiser;4;4;1;NA;4;0.19;01.10.csv;2015;01.10.2015;grüental
A10451;Sandwich Bauette;10.5;10.5;2;NA;5.25;0.49;01.10.csv;2015;01.10.2015;grüental
A10000;Catering;22;22;5;NA;4.4;1.39;02.10.csv;2015;02.10.2015;grüental
A10001;Favorite;528;528;67;NA;7.88;33.24;02.10.csv;2015;02.10.2015;grüental
A10002;Green;395;395;50;NA;7.9;24.87;02.10.csv;2015;02.10.2015;grüental
A10006;Menu Salat;18;18;12;NA;1.5;1.13;02.10.csv;2015;02.10.2015;grüental
A10013;Kitchen 3;225;225;19;NA;11.84;14.17;02.10.csv;2015;02.10.2015;grüental
A10020;Local 0;147;147;19;NA;7.74;9.25;02.10.csv;2015;02.10.2015;grüental
A10023;Local 3;165;165;14;NA;11.79;10.39;02.10.csv;2015;02.10.2015;grüental
A10030;Market;12.1;12.1;2;0.524;23.09;0.76;02.10.csv;2015;02.10.2015;grüental
A10040;Garden;37.3;37.3;6;1.618;23.05;2.35;02.10.csv;2015;02.10.2015;grüental
A10060;Frucht -.70;0.7;0.7;1;NA;0.7;0.04;02.10.csv;2015;02.10.2015;grüental
A10114;Fitnessbrötli;1.7;1.7;1;NA;1.7;0.11;02.10.csv;2015;02.10.2015;grüental
A10117;Nuss-Semmel;1.7;1.7;1;NA;1.7;0.11;02.10.csv;2015;02.10.2015;grüental
A10148;Fruchttörtli;5.3;5.3;2;NA;2.65;0.33;02.10.csv;2015;02.10.2015;grüental
A10162;Bienenstich;2.4;2.4;1;NA;2.4;0.15;02.10.csv;2015;02.10.2015;grüental
A10200;Birchermüesli Classic;3.2;3.2;1;NA;3.2;0.2;02.10.csv;2015;02.10.2015;grüental
A10410;Sandwich Milano;4;4;1;NA;4;0.25;02.10.csv;2015;02.10.2015;grüental
A10413;Sandwich Start Your Day;4.5;4.5;1;NA;4.5;0.28;02.10.csv;2015;02.10.2015;grüental
A10430;Bagel Sandwich Fisherman's Catch;5.5;5.5;1;NA;5.5;0.35;02.10.csv;2015;02.10.2015;grüental
A10451;Sandwich Bauette;10;10;2;NA;5;0.63;02.10.csv;2015;02.10.2015;grüental
A10000;Catering;6.6;6.6;2;NA;3.3;0.39;05.10.csv;2015;05.10.2015;grüental
A10001;Favorite;650;650;85;NA;7.65;38.46;05.10.csv;2015;05.10.2015;grüental
A10002;Green;314;314;42;NA;7.48;18.58;05.10.csv;2015;05.10.2015;grüental
A10006;Menu Salat;48.5;48.5;31;NA;1.56;2.87;05.10.csv;2015;05.10.2015;grüental
A10014;Kitchen 4;271;271;21;NA;12.9;16.03;05.10.csv;2015;05.10.2015;grüental
A10020;Local 0;291;291;39;NA;7.46;17.22;05.10.csv;2015;05.10.2015;grüental
A10030;Market;15.5;15.5;3;0.674;23;0.92;05.10.csv;2015;05.10.2015;grüental
A10040;Garden;16.7;16.7;3;0.726;23;0.99;05.10.csv;2015;05.10.2015;grüental
A10063;Frucht 1.00;2;2;2;NA;1;0.12;05.10.csv;2015;05.10.2015;grüental
A10072;Schichtjoghurt;3;3;1;NA;3;0.18;05.10.csv;2015;05.10.2015;grüental
A10073;Saisonfrüchte geschnitten;3.5;3.5;1;NA;3.5;0.21;05.10.csv;2015;05.10.2015;grüental
A10113;Mandelbrötli;1.7;1.7;1;NA;1.7;0.1;05.10.csv;2015;05.10.2015;grüental
A10123;Russenzöpfli;2.9;2.9;1;NA;2.9;0.17;05.10.csv;2015;05.10.2015;grüental
A10126;Apfel im Schlafrock;7.2;7.2;3;NA;2.4;0.43;05.10.csv;2015;05.10.2015;grüental
A10135;Wähe;8.3;8.3;2;NA;4.15;0.49;05.10.csv;2015;05.10.2015;grüental
A10136;Muffin;2.5;2.5;1;NA;2.5;0.15;05.10.csv;2015;05.10.2015;grüental
A10148;Fruchttörtli;5.3;5.3;2;NA;2.65;0.31;05.10.csv;2015;05.10.2015;grüental
A10200;Birchermüesli Classic;6.4;6.4;2;NA;3.2;0.38;05.10.csv;2015;05.10.2015;grüental
A10410;Sandwich Milano;8.5;8.5;2;NA;4.25;0.5;05.10.csv;2015;05.10.2015;grüental
A10413;Sandwich Start Your Day;4.5;4.5;1;NA;4.5;0.27;05.10.csv;2015;05.10.2015;grüental
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.33;05.10.csv;2015;05.10.2015;grüental
A10416;Sandwich Ticinese;12;12;2;NA;6;0.71;05.10.csv;2015;05.10.2015;grüental
L19100;Patisserie offen;3.5;3.5;1;NA;3.5;0.21;05.10.csv;2015;05.10.2015;grüental
A10000;Catering;17;17;2;NA;8.5;0.85;06.10.csv;2015;06.10.2015;grüental
A10001;Favorite;1055;1055;139;NA;7.59;52.51;06.10.csv;2015;06.10.2015;grüental
A10002;Green;469;469;63;NA;7.44;23.34;06.10.csv;2015;06.10.2015;grüental
A10006;Menu Salat;58.5;58.5;37;NA;1.58;2.91;06.10.csv;2015;06.10.2015;grüental
A10007;Senf Mayo Ketschup;1;1;2;NA;0.5;0.05;06.10.csv;2015;06.10.2015;grüental
A10012;Kitchen 2;136;136;13;NA;10.46;6.77;06.10.csv;2015;06.10.2015;grüental
A10020;Local 0;125;125;16;NA;7.81;6.22;06.10.csv;2015;06.10.2015;grüental
A10040;Garden;82.5;82.5;12;3.586;23.01;4.11;06.10.csv;2015;06.10.2015;grüental
A10073;Saisonfrüchte geschnitten;3.5;3.5;1;NA;3.5;0.17;06.10.csv;2015;06.10.2015;grüental
A10100;Gipfel;1.5;1.5;1;NA;1.5;0.07;06.10.csv;2015;06.10.2015;grüental
A10101;Ragusa-Gipfel;4.8;4.8;2;NA;2.4;0.24;06.10.csv;2015;06.10.2015;grüental
A10121;Mandelschnecke;2.4;2.4;1;NA;2.4;0.12;06.10.csv;2015;06.10.2015;grüental
A10122;Nussbrille;2.4;2.4;1;NA;2.4;0.12;06.10.csv;2015;06.10.2015;grüental
A10144;Trockengebäck 100g verpackt;2.2;2.2;1;NA;2.2;0.11;06.10.csv;2015;06.10.2015;grüental
A10148;Fruchttörtli;2.4;2.4;1;NA;2.4;0.12;06.10.csv;2015;06.10.2015;grüental
A10200;Birchermüesli Classic;6.4;6.4;2;NA;3.2;0.32;06.10.csv;2015;06.10.2015;grüental
A10410;Sandwich Milano;4;4;1;NA;4;0.2;06.10.csv;2015;06.10.2015;grüental
A10413;Sandwich Start Your Day;13.5;13.5;3;NA;4.5;0.67;06.10.csv;2015;06.10.2015;grüental
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.27;06.10.csv;2015;06.10.2015;grüental
A10425;Sandwich Italien;12;12;2;NA;6;0.6;06.10.csv;2015;06.10.2015;grüental
L19200;Sandwich offen;4.5;4.5;1;NA;4.5;0.22;06.10.csv;2015;06.10.2015;grüental
A10000;Catering;3;3;1;NA;3;0.12;07.10.csv;2015;07.10.2015;grüental
A10001;Favorite;646;646;84;NA;7.69;26.65;07.10.csv;2015;07.10.2015;grüental
A10002;Green;561;561;73;NA;7.68;23.15;07.10.csv;2015;07.10.2015;grüental
A10006;Menu Salat;87.5;87.5;57;NA;1.54;3.61;07.10.csv;2015;07.10.2015;grüental
A10012;Kitchen 2;161;161;15;NA;10.73;6.64;07.10.csv;2015;07.10.2015;grüental
A10014;Kitchen 4;610;610;47;NA;12.98;25.17;07.10.csv;2015;07.10.2015;grüental
A10020;Local 0;214;214;29;NA;7.38;8.83;07.10.csv;2015;07.10.2015;grüental
A10030;Market;39;39;5;1.698;22.97;1.61;07.10.csv;2015;07.10.2015;grüental
A10040;Garden;42.4;42.4;7;1.844;22.99;1.75;07.10.csv;2015;07.10.2015;grüental
A10060;Frucht -.70;0.7;0.7;1;NA;0.7;0.03;07.10.csv;2015;07.10.2015;grüental
A10063;Frucht 1.00;1;1;1;NA;1;0.04;07.10.csv;2015;07.10.2015;grüental
A10072;Schichtjoghurt;6;6;2;NA;3;0.25;07.10.csv;2015;07.10.2015;grüental
A10073;Saisonfrüchte geschnitten;3.5;3.5;1;NA;3.5;0.14;07.10.csv;2015;07.10.2015;grüental
A10110;Sonnenblumenbrötli;1.7;1.7;1;NA;1.7;0.07;07.10.csv;2015;07.10.2015;grüental
A10135;Wähe;3.9;3.9;1;NA;3.9;0.16;07.10.csv;2015;07.10.2015;grüental
A10148;Fruchttörtli;2.9;2.9;1;NA;2.9;0.12;07.10.csv;2015;07.10.2015;grüental
